Date,AAPL,TSLA,AMZN,GOOGL,MSFT,RELIANCE,TCS,INFY,HDFCBANK,WIPRO
2023-01-01,174.9080237694725,177.8591228083953,161.12084309804297,157.77698778183313,250.7736165419826,244.07679971728916,162.33058333092978,242.93921780132445,160.95218255946514,190.67412112083144
2023-01-02,170.77304303180964,179.66296617622837,157.8793692701455,159.08594385614535,254.23840647637266,245.1712273593927,162.2334570906171,235.5789704341481,159.03159234163738,188.58348372831486
2023-01-03,172.02362630363248,176.72273036874773,149.81348407956335,156.6171230601916,258.5744225139553,251.62316245746558,162.7871572476606,230.38616810839565,160.43138012986373,194.70720321917406
2023-01-04,173.13271005732787,179.96190465902274,152.08456407001796,161.71283712914126,262.58360225556464,250.9021508601506,158.1164597392593,228.817180540226,158.48137528670725,193.61580836345416
2023-01-05,177.0525424687549,177.09683795675105,153.42103616794196,167.3717569988146,255.67307357412585,253.67159154001993,157.45627360566482,227.92383415842247,161.95606009856553,189.89651263112953
2023-01-06,174.88152687559133,185.27191343512382,147.03747502086722,164.9695233611861,245.44545816688372,258.06336557285084,159.90376940484572,227.733497179215,160.00030133199584,191.06564523948376
2023-01-07,172.94724184873112,186.8707996397004,152.56154110303342,157.69843086736557,236.49806754854353,264.548556768386,162.69627375227654,230.38649456124426,154.728175424293,190.18155500550753
2023-01-08,170.86197386461455,187.4930085291602,159.18705574899172,161.5983486212467,235.00295427133318,270.31657587208684,160.5953315270811,227.89267380986772,153.09435788147087,185.29826683259526
2023-01-09,167.5076768548703,184.79517131183226,156.24473499442016,158.95494861658432,238.4090482580633,275.1784984211238,162.64485089047014,226.94310251242547,152.57503775026944,191.4796004585374
2023-01-10,158.2788199814078,187.0500717852702,160.93394015029963,162.033810667802,232.20718564807407,273.48540690106347,161.04098238322996,226.9591193978604,154.87856849970507,188.87993963829592
2023-01-11,161.65005553542196,185.25099542663864,158.6677254686481,154.50465811317335,237.44557769179897,270.3963493183955,160.28367303547063,227.58463206906563,152.26185156397972,181.34090634915844
2023-01-12,164.61133598559047,185.66846966724447,159.42882327241952,157.88619878839137,234.63413636063447,272.27391982744376,159.64255658617273,228.0186037016425,149.72983514497736,186.80149822057902
2023-01-13,159.2813519650378,193.99952061752538,156.1484156793933,153.33845575405127,231.90894764728955,277.5126119150149,159.92665711421304,229.7212305821195,151.7373986917977,184.74899380517235
2023-01-14,157.85380567272497,193.71385772388027,165.12926031558234,156.08240882530137,227.3349071213468,276.3205528075012,162.1434407884322,232.9863844313519,148.93554804817566,182.29921902743268
2023-01-15,155.36960260008547,197.5869346006443,163.94209616331378,156.14626475962132,217.3139604191076,282.38977784088763,162.77220376144422,234.5595625618013,148.5975901123185,175.3142901697546
2023-01-16,153.05490234240358,195.26070471661876,164.50215356446338,152.59496467181975,218.5434608864292,290.86120825751453,162.54815501024606,236.3790255504278,148.30164629556086,182.25736048393773
2023-01-17,146.12252453387674,195.17666577084142,161.71750749931576,151.1098846762641,227.74265732880306,285.57996715021454,164.72591357491032,230.40708779306559,148.77008604943313,177.13728187728412
2023-01-18,144.17780008861547,201.2035909031424,169.5072685075972,153.64871748883064,227.43232374900836,280.8449777511833,163.011225424355,230.66669082791395,147.277745179022,177.39528955155572
2023-01-19,146.11993588425997,199.09376245387054,177.78534425501223,154.0525425457788,217.58531301746922,280.1044243241034,162.89382886295212,232.5545886283354,145.44744475537578,181.0575912729164
2023-01-20,154.56521918512473,205.3876936798378,185.27238898290452,156.25525537395015,221.7284514347552,281.90694818885623,165.1393527947692,235.41694293497883,146.1412385211424,182.79078210781503
2023-01-21,155.95325672550035,207.9202943662505,189.82696896571798,163.9157632531452,213.28090438213587,278.98868583169536,166.3702099779247,232.83545491457468,144.38628284112642,182.57727660766867
2023-01-22,156.42253132661358,205.96681404686527,186.91025796786937,157.84083928015113,207.2119192595889,286.7754522158155,165.38386343831274,230.40784485325477,141.74975430381235,175.83046872943905
2023-01-23,154.72527447966587,208.23840768864957,190.88673069649755,164.14684261325175,206.05921385272168,289.3010683225205,162.1084115598936,228.3226971098213,144.17645617226648,172.72236012205028
2023-01-24,152.76343363969065,211.7617519550648,190.89682041656613,164.5721358391744,206.6963538473009,289.5888591923562,162.83821169817898,230.40588029697415,145.16813670945012,173.47179659040623
2023-01-25,156.00722078026118,214.05850761292027,197.34866649719493,161.04387060065397,201.78246000464125,281.3602604532394,159.47235377328252,234.408647836921,148.74763316268397,170.49078709882986
2023-01-26,157.05413706372187,208.42874976528518,203.0127105042605,155.95517241863644,200.4723920705899,274.0298452938554,159.06821565132984,232.92161982912646,150.37823857183426,171.28974794648525
2023-01-27,154.94335111295987,205.89059980004293,199.7703811909162,155.25342976564767,203.97044650946253,275.64501839642986,161.6582132911966,236.48028661146282,147.81787983950977,173.9314498754948
2023-01-28,151.5788284625907,205.05628146461228,204.63702441382998,158.7628670288293,208.2128923377183,264.06779456591045,163.01073766549024,237.03070645639656,148.03909455780175,177.71910886952494
2023-01-29,151.0957488439555,204.82998314975183,208.22556595274776,158.28400473982387,214.58947372001026,269.58148706801876,158.69005872497792,236.6210402632379,146.02215617833963,172.96963490889848
2023-01-30,149.39690339722753,207.04753332463724,194.23967069506085,164.1860554240772,224.68035672805664,268.77403204079684,159.16826779935946,235.87563464457827,142.78490828423426,181.64986071106938
2023-01-31,149.42932257490213,207.71160835712172,198.23783991102525,158.5340119189442,229.12096128751068,287.0392009677747,158.53760561078005,238.84792335568758,141.93910306285952,184.80305557545603
2023-02-01,148.73322545520483,203.0617709072319,196.1416739198305,158.49779086818205,227.96449660978354,300.80565343734617,155.89787700241033,240.19694993817188,143.88345307476547,184.82498948504642
2023-02-02,150.05289714885433,204.4188480803998,191.86307476684675,153.77905378445834,232.74584158027704,299.7634973564706,156.65054818581376,249.38728404282782,144.45119813835663,189.38367730981219
2023-02-03,146.01644089750138,206.5963530230115,187.87986300110543,155.14725831772182,235.3996556754766,299.1788200705176,155.66863988388454,246.00812296279307,141.75349707872164,199.63480336122655
2023-02-04,149.5880626732063,208.6159841369483,187.28493421276096,158.52097174582582,238.3103324570972,305.3203503723552,154.70577642855957,248.17828073043012,140.84606836089895,193.384218657605
2023-02-05,158.99116563041267,212.5382289806374,189.60355803897343,156.92612100402684,239.35926059868888,316.07635024444824,155.01282054197105,246.1130864146843,140.595921003901,192.44887751315017
2023-02-06,163.24183283683746,215.62316306581462,183.24462342128928,147.3571379769034,234.21111175560148,305.84309014573694,153.76388721836116,242.71051014877614,137.4084502891922,182.57115414479736
2023-02-07,164.07789122724955,217.3572075185824,184.16405075747096,148.07728477801723,228.53651939650535,295.0551074335092,154.0104925052249,242.74115854777702,138.7802703875975,183.3830901139801
2023-02-08,167.3219555327478,217.13316071738257,186.8980411577982,149.65912279314549,228.03652293032104,291.4260437679211,152.83645715390617,243.3613938104509,138.3711405082046,184.90699407138996
2023-02-09,163.73317318425546,211.095138193833,195.90313705053248,151.1392262003587,228.88471896832635,294.93700144793576,151.78317524187773,255.3429064515448,135.78754364252794,184.77513023921125
